,county,longitude,latitude
0,0,24.2,59.1
1,0,25.2,59.1
2,0,23.7,59.4
3,0,24.2,59.4
4,0,24.7,59.4
5,0,25.2,59.4
6,0,25.7,59.4
7,0,24.7,59.7
8,0,25.2,59.7
9,0,25.7,59.7
10,1,21.7,58.8
11,1,22.2,58.8
12,1,22.7,58.8
13,1,23.2,58.8
14,1,22.2,59.1
15,1,22.7,59.1
16,2,27.2,59.1
17,2,27.7,59.1
18,2,27.2,59.4
19,2,27.7,59.4
20,3,25.2,58.8
21,3,25.7,58.8
22,3,25.7,59.1
23,4,26.2,58.5
24,4,26.2,58.8
25,4,26.7,58.8
26,4,27.2,58.8
27,5,26.2,59.1
28,5,26.7,59.1
29,5,26.2,59.4
30,5,26.7,59.4
31,5,26.2,59.7
32,5,26.7,59.7
33,6,23.7,58.8
34,6,23.2,59.1
35,6,23.7,59.1
36,6,23.2,59.4
37,7,23.7,57.9
38,7,24.2,57.9
39,7,23.7,58.2
40,7,24.2,58.2
41,7,24.7,58.2
42,7,25.2,58.2
43,7,23.7,58.5
44,7,24.2,58.5
45,7,24.7,58.5
46,8,27.2,58.2
47,9,24.2,58.8
48,9,24.7,58.8
49,9,24.7,59.1
50,10,23.2,57.6
51,10,21.7,57.9
52,10,22.2,57.9
53,10,23.2,57.9
54,10,21.7,58.2
55,10,22.2,58.2
56,10,22.7,58.2
57,10,23.2,58.2
58,10,21.7,58.5
59,10,22.2,58.5
60,10,22.7,58.5
61,10,23.2,58.5
62,11,26.2,58.2
63,11,26.7,58.2
64,11,26.7,58.5
65,11,27.2,58.5
66,13,26.2,57.9
67,14,25.7,58.2
68,14,25.2,58.5
69,14,25.7,58.5
70,15,26.7,57.6
71,15,27.2,57.6
72,15,26.7,57.9
73,15,27.2,57.9
74,15,27.7,57.9
